id,price,bedrooms,property_type,latitude,longitude
5918741,158.0,2,Entire home/apt,47.613319396972656,-122.3458251953125
5969069,158.0,2,Entire home/apt,47.62453,-122.30405
5980730,77.0,1,Private room,47.6675,-122.29559
5991734,116.0,2,Entire home/apt,47.57591,-122.3965
6002165,,2,Entire home/apt,47.56472,-122.4001
6020821,165.0,2,Entire home/apt,47.616500630443234,-122.31279234395588
6053606,466.0,2,Entire home/apt,47.65146,-122.33742
6087451,90.0,2,Entire home/apt,47.65469,-122.35942
6117473,65.0,1,Private room,47.52894,-122.27579
6133354,125.0,2,Entire home/apt,47.61953,-122.29729
6153532,110.0,2,Entire home/apt,47.68801,-122.36956
6166307,126.0,2,Entire home/apt,47.69224,-122.3645
6202214,124.0,2,Entire home/apt,47.65339,-122.33953
6214517,151.0,2,Entire home/apt,47.65113,-122.3213
6222790,110.0,2,Entire home/apt,47.65561,-122.34651
6245498,144.0,2,Entire home/apt,47.68081,-122.37181
6248083,594.0,2,Entire home/apt,47.63028,-122.3608
6263153,356.0,2,Entire home/apt,47.61705,-122.29035
6263270,255.0,2,Entire home/apt,47.61538,-122.34907
6288101,165.0,2,Entire home/apt,47.62206,-122.32559
6304139,81.0,2,Entire home/apt,47.68098,-122.28965
6304887,27.0,1,Private room,47.57517,-122.30287
6336564,147.0,2,Entire home/apt,47.66447,-122.32728
6365330,272.0,2,Entire home/apt,47.65328,-122.33034
6376139,120.0,2,Entire home/apt,47.62133,-122.29431
6400379,,1,Private room,47.64462,-122.36079
6438518,163.0,2,Entire home/apt,47.66574,-122.34994
6490453,186.0,2,Entire home/apt,47.6767532053056,-122.33134734679172
6575380,109.0,2,Entire home/apt,47.6366,-122.35635
6603376,,2,Entire home/apt,47.69943,-122.2738
6621924,74.0,2,Entire home/apt,47.65398,-122.36047
6637899,100.0,1,Private room,47.623,-122.29953
6644760,148.0,2,Entire home/apt,47.63772964477539,-122.2768096923828
6657574,56.0,1,Private room,47.70253,-122.37196
6660186,167.0,2,Entire home/apt,47.68783,-122.35472
6678058,106.0,2,Entire home/apt,47.64827,-122.39285
6694276,230.0,2,Entire home/apt,47.5850428978913,-122.387828216064
6705584,145.0,2,Entire home/apt,47.65767,-122.31831
6706377,150.0,2,Entire home/apt,47.6089,-122.29773
6716874,115.0,2,Entire home/apt,47.56752,-122.28064
6734621,351.0,2,Entire home/apt,47.65313,-122.38414
6744143,361.0,2,Entire home/apt,47.53758,-122.39565
6761092,141.0,2,Entire home/apt,47.54403,-122.32067
6779893,200.0,2,Entire home/apt,47.62508,-122.32717
6794702,89.0,2,Entire home/apt,47.55903,-122.3788
6797786,290.0,2,Entire home/apt,47.71252,-122.35807
6852960,123.0,2,Entire home/apt,47.616943359375,-122.30776977539062
6908161,108.0,1,Private room,47.62534,-122.30969
6937492,,2,Entire home/apt,47.51857,-122.38717
6973790,202.0,2,Entire home/apt,47.61365,-122.34717
6991188,163.0,2,Entire home/apt,47.61018,-122.30476
7010764,55.0,2,Entire home/apt,47.65243,-122.35625
7035498,124.0,2,Entire home/apt,47.61535,-122.34131
7037522,117.0,2,Entire home/apt,47.55958,-122.26731
7087957,113.0,2,Entire home/apt,47.61412,-122.31528
7221204,105.0,1,Private room,47.70168,-122.39141
7245581,53.0,1,Private room,47.667358,-122.298828
7247518,150.0,2,Entire home/apt,47.55457,-122.30529
7257457,289.0,2,Entire home/apt,47.59114,-122.38506
7262142,63.0,2,Entire home/apt,47.55633,-122.27273
7264708,,2,Entire home/apt,47.63778,-122.38943
7275464,113.0,2,Entire home/apt,47.62443,-122.30317
7278583,340.0,2,Entire home/apt,47.59105126429848,-122.38642232148835
7305969,90.0,1,Private room,47.61389,-122.30781
7342445,125.0,2,Entire home/apt,47.54364,-122.27232
7344117,206.0,2,Entire home/apt,47.60222,-122.30821
7349029,118.0,2,Entire home/apt,47.57374,-122.40873
7353834,100.0,2,Entire home/apt,47.66222,-122.31501
7397715,153.0,2,Entire home/apt,47.55631637573242,-122.28976440429688
7418814,111.0,2,Entire home/apt,47.676557700457806,-122.30943131913902
7434103,73.0,1,Private room,47.72388,-122.28792
7455832,278.0,2,Entire home/apt,47.544739,-122.319786
7462250,153.0,2,Entire home/apt,47.55413,-122.38433
7500191,202.0,2,Entire home/apt,47.6223258972168,-122.31814575195312
7502246,217.0,2,Entire home/apt,47.57771,-122.40759
7529124,64.0,2,Entire home/apt,47.69685,-122.31442
7533537,145.0,2,Entire home/apt,47.53059,-122.38595
7562331,110.0,2,Entire home/apt,47.57268,-122.28544
7581631,111.0,2,Entire home/apt,47.63997,-122.32399
7604654,169.0,2,Entire home/apt,47.65688,-122.34517
7636185,90.0,2,Entire home/apt,47.57386,-122.31055
7638263,99.0,1,Private room,47.63631,-122.32526
7638282,111.0,2,Entire home/apt,47.69593,-122.31355
7692281,68.0,2,Entire home/apt,47.65197,-122.38378
7697340,602.0,2,Entire home/apt,47.6393,-122.32341
7700559,81.0,2,Entire home/apt,47.690811403214944,-122.38970752853704
7718139,65.0,2,Entire home/apt,47.57892,-122.3054
7745196,145.0,2,Entire home/apt,47.65593,-122.3427
7748778,135.0,2,Entire home/apt,47.57705,-122.30483
7772661,142.0,2,Entire home/apt,47.63879,-122.37095
7789438,207.0,2,Entire home/apt,47.61314,-122.32366
7800143,325.0,2,Entire home/apt,47.57729721069336,-122.38191223144533
7800238,90.0,2,Entire home/apt,47.55531,-122.30963
7810447,105.0,2,Entire home/apt,47.65696,-122.31664
7823973,82.0,2,Entire home/apt,47.62258,-122.30197
7839535,93.0,1,Private room,47.64378,-122.36261
7871885,123.0,2,Entire home/apt,47.62878,-122.30362
7873789,,2,Entire home/apt,47.68241,-122.37093
7886645,146.0,2,Entire home/apt,47.67448,-122.32275
7886656,151.0,2,Entire home/apt,47.55762,-122.38364
7922013,80.0,1,Private room,47.58713,-122.29737
7922663,80.0,1,Private room,47.58696,-122.29517
7935437,99.0,2,Entire home/apt,47.69992,-122.34852
7952930,82.0,2,Entire home/apt,47.70521,-122.31705
7956337,,1,Private room,47.58745,-122.29725
7971395,102.0,1,Private room,47.6048,-122.3095
7995944,79.0,2,Entire home/apt,47.69889,-122.31688
8029177,183.0,2,Entire home/apt,47.6371,-122.401
8080939,188.0,2,Entire home/apt,47.65428,-122.34745
8081658,172.0,2,Entire home/apt,47.65426,-122.34756
8099917,141.0,2,Entire home/apt,47.67263,-122.29189
8101042,84.0,2,Entire home/apt,47.73092,-122.32628
8101791,120.0,2,Entire home/apt,47.67263,-122.29189
8106157,,2,Entire home/apt,47.67402,-122.38752
8187592,342.0,2,Entire home/apt,47.58406,-122.31548
8194782,95.0,2,Entire home/apt,47.57421,-122.41409
8248970,288.0,2,Entire home/apt,47.65801,-122.39816
8255615,114.0,2,Entire home/apt,47.66634,-122.36071
8290643,146.0,2,Entire home/apt,47.65809,-122.35699
8306501,71.0,1,Private room,47.65639,-122.36087
8307502,425.0,2,Entire home/apt,47.56866,-122.37454
8326413,70.0,1,Private room,47.56301,-122.29088
8373832,397.0,2,Entire home/apt,47.5852,-122.39899
8409750,428.0,2,Entire home/apt,47.615067,-122.347496
8410028,144.0,2,Entire home/apt,47.61171,-122.32931
8418650,141.0,2,Entire home/apt,47.65076,-122.33712
8426827,124.0,2,Entire home/apt,47.68304,-122.37639
8441477,199.0,2,Entire home/apt,47.67751,-122.35616
8505940,81.0,1,Private room,47.63583,-122.30263
8507062,87.0,1,Private room,47.63765,-122.30088
8524349,106.0,2,Entire home/apt,47.68304,-122.37643
8597297,211.0,2,Entire home/apt,47.67263,-122.31721
8605841,121.0,2,Entire home/apt,47.57177,-122.30865
8630702,186.0,2,Entire home/apt,47.68402,-122.37886
8632651,192.0,2,Entire home/apt,47.65526,-122.34785
8637174,151.0,2,Entire home/apt,47.61483,-122.34035
8701578,68.0,2,Entire home/apt,47.61319,-122.32727
8780358,148.0,2,Entire home/apt,47.58428,-122.39405
8848854,,2,Entire home/apt,47.61055,-122.30199
8869680,102.0,2,Entire home/apt,47.65885,-122.31467
8870139,64.0,2,Entire home/apt,47.69276,-122.3325
8902327,127.0,2,Entire home/apt,47.65025,-122.32037
8941541,212.0,2,Entire home/apt,47.61581,-122.31582
9068419,113.0,2,Entire home/apt,47.6642,-122.34996
9096972,164.0,2,Entire home/apt,47.55884,-122.39769
9098494,,2,Entire home/apt,47.56479,-122.38799
9110560,45.0,1,Private room,47.66916,-122.28456
9154294,160.0,2,Entire home/apt,47.65373992919922,-122.32946014404295
9157232,73.0,1,Private room,47.667358,-122.298828
9167786,52.0,1,Private room,47.64101,-122.37564
9174327,105.0,2,Entire home/apt,47.65718,-122.36031
